session_id,user_agent,ip_address,page_views,session_duration,avg_time_per_page,bounce_rate,scroll_depth,click_count,form_interactions,search_queries,request_frequency,javascript_enabled,cookie_enabled,screen_resolution,browser_language,referer_type,hour_of_day,day_of_week,time_between_clicks,page_load_time,unique_pages_visited,sequential_page_views,back_button_usage,tab_switches,copy_paste_events,is_bot
session_002077,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36,200.213.180.6,9,942,93.41,0.788,83.8,7,4,0,4.57,1,1,1440x900,es-ES,direct,12,7,1925.0,1517.0,4,0.5,5,2,0,0
session_002078,python-requests/2.25.1,158.25.110.82,10,162,11.06,0.278,22.4,3,0,0,13.96,1,0,1024x768,,direct,11,2,692.0,702.0,10,0.941,0,0,0,1
session_002079,Go-http-client/1.1,17.121.194.190,16,170,5.98,0.241,18.2,2,0,0,10.97,1,0,800x600,,direct,2,5,715.0,873.0,13,0.912,0,0,0,1
session_002080,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36,162.11.140.139,4,345,86.73,0.589,44.6,12,5,3,4.77,1,1,1536x864,fr-FR,search,12,5,9014.0,1531.0,4,0.244,7,1,0,0
session_002081,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36,114.70.106.133,5,547,70.09,0.772,76.6,6,2,4,1.61,1,0,1366x768,es-ES,search,3,4,7758.0,539.0,5,0.354,2,3,0,0
session_002082,Mozilla/5.0 (Android 11; Mobile; rv:68.0) Gecko/68.0,243.68.140.109,4,667,97.24,0.671,49.3,5,4,2,1.56,1,1,375x667,de-DE,search,23,7,14580.0,1322.0,4,0.233,0,3,2,0
session_002083,Go-http-client/1.1,102.179.159.141,10,180,8.25,0.268,16.0,2,0,0,16.22,0,0,unknown,,direct,9,4,885.0,632.0,9,0.879,0,0,0,1
session_002084,Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36,88.151.67.251,3,350,69.74,0.377,94.0,6,2,0,1.73,1,1,1920x1080,en-US,search,18,2,3713.0,1284.0,3,0.633,3,2,0,0
session_002085,Mozilla/5.0 (iPhone; CPU iPhone OS 14_7_1 like Mac OS X),47.15.217.176,4,30,123.2,0.773,47.9,5,1,0,4.36,1,1,1440x900,en-GB,search,19,6,1380.0,1365.0,2,0.388,1,3,0,0
session_002086,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36,90.30.19.122,5,498,23.68,0.48,71.7,9,4,2,3.34,1,1,1536x864,pt-BR,search,14,3,2762.0,1041.0,2,0.679,1,0,2,0
session_002087,Go-http-client/1.1,193.198.143.207,10,94,9.9,0.195,13.5,1,0,0,12.02,0,0,1024x768,unknown,direct,6,4,179.0,812.0,10,0.892,0,0,0,1
session_002088,curl/7.68.0,132.149.67.84,15,201,7.5,0.156,27.4,2,0,0,18.17,1,0,800x600,unknown,direct,4,2,105.0,1198.0,11,0.848,0,0,1,1
session_002089,Mozilla/5.0 (Android 11; Mobile; rv:68.0) Gecko/68.0,78.207.35.77,3,531,49.68,0.464,79.6,7,2,2,4.22,1,1,375x667,es-ES,direct,11,6,3448.0,757.0,3,0.633,4,1,1,0
session_002090,PostmanRuntime/7.26.8,97.175.222.71,13,101,9.7,0.269,4.3,1,0,0,8.61,1,0,0x0,unknown,direct,1,2,905.0,560.0,10,0.865,0,0,1,1
session_002091,curl/7.68.0,4.210.203.239,15,183,5.17,0.178,14.0,2,0,0,19.6,0,0,unknown,unknown,direct,19,4,400.0,912.0,8,0.917,0,0,0,1
session_002092,Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36,8.147.116.201,10,620,48.39,0.582,74.3,7,4,1,0.6,1,1,1440x900,en-GB,search,19,6,7387.0,1609.0,7,0.439,3,0,0,0
session_002093,Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36,109.34.63.220,4,134,58.72,0.319,49.0,15,1,1,4.52,1,1,1440x900,fr-FR,direct,8,7,8875.0,1064.0,4,0.53,7,1,3,0
session_002094,Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36,48.198.108.87,6,270,10.0,0.633,67.6,18,5,3,2.64,1,1,1920x1080,en-US,direct,11,6,5501.0,1143.0,6,0.445,2,0,0,0
session_002095,Go-http-client/1.1,59.237.14.3,15,201,12.69,0.11,0.6,1,0,0,8.15,1,1,1024x768,en,direct,6,1,477.0,345.0,15,0.938,0,0,0,1
session_002096,Mozilla/5.0 (iPhone; CPU iPhone OS 14_7_1 like Mac OS X),116.110.247.226,5,380,77.43,0.441,82.2,5,2,2,2.14,1,1,1536x864,es-ES,direct,4,4,5287.0,1824.0,5,0.349,3,4,0,0
session_002097,Scrapy/2.5.1,100.8.27.21,8,199,11.64,0.139,2.3,1,1,1,9.59,1,0,unknown,,social,18,1,975.0,472.0,8,0.969,0,0,0,1
session_002098,Go-http-client/1.1,137.205.133.164,17,146,14.42,0.102,18.1,0,0,1,9.19,0,1,800x600,en,direct,10,2,711.0,713.0,13,0.942,1,0,0,1
session_002099,Mozilla/5.0 (iPhone; CPU iPhone OS 14_7_1 like Mac OS X),133.252.102.124,7,416,81.02,0.564,40.3,5,2,3,1.7,1,1,375x667,en-GB,direct,18,6,2481.0,1088.0,4,0.421,8,2,3,0
session_002100,python-requests/2.25.1,226.242.92.114,11,214,6.92,0.209,13.5,1,0,2,9.33,0,0,unknown,unknown,referral,23,7,343.0,657.0,8,0.934,0,0,0,1
session_002101,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36,20.38.187.29,2,519,105.45,0.549,54.8,4,2,0,2.5,1,1,1920x1080,en-GB,social,16,7,7621.0,1497.0,2,0.334,3,2,1,0
session_002102,Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36,123.88.59.111,6,404,44.89,0.371,52.4,9,2,2,1.67,1,1,375x667,pt-BR,search,12,5,3648.0,1260.0,5,0.395,4,1,2,0
session_002103,Scrapy/2.5.1,142.90.250.210,15,253,8.03,0.26,19.8,0,1,1,13.09,1,1,unknown,unknown,direct,5,1,515.0,500.0,13,0.862,0,0,0,1
session_002104,curl/7.68.0,178.193.60.129,14,189,6.96,0.125,24.7,1,0,0,9.8,0,1,unknown,unknown,direct,12,2,646.0,830.0,12,0.824,0,0,0,1
session_002105,Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36,242.110.66.79,7,338,76.27,0.346,44.3,9,0,1,4.62,1,1,1440x900,pt-BR,referral,8,5,14182.0,1031.0,3,0.53,2,3,1,0
session_002106,Scrapy/2.5.1,217.226.20.29,16,167,10.69,0.217,12.4,0,1,2,9.95,0,1,1024x768,en,direct,4,1,698.0,778.0,11,0.971,0,0,0,1
session_002107,Go-http-client/1.1,196.189.188.251,12,221,3.93,0.124,4.5,4,0,0,11.45,0,0,800x600,unknown,direct,23,3,425.0,740.0,11,0.942,0,0,0,1
session_002108,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36,76.166.165.174,6,335,42.43,0.489,71.0,7,2,2,2.37,1,1,1536x864,en-GB,search,12,4,10700.0,1499.0,6,0.523,2,2,1,0
session_002109,python-requests/2.25.1,98.176.44.210,20,220,7.96,0.208,10.2,2,0,0,13.56,0,1,0x0,unknown,referral,4,7,377.0,694.0,7,0.909,0,0,0,1
session_002110,Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36,247.64.212.11,4,393,58.83,0.396,75.7,12,1,2,3.85,1,1,1440x900,pt-BR,direct,10,6,7937.0,434.0,4,0.264,4,0,0,0
session_002111,Mozilla/5.0 (Android 11; Mobile; rv:68.0) Gecko/68.0,203.251.59.84,7,691,90.25,0.521,64.8,6,1,1,4.56,1,1,375x667,en-GB,referral,12,4,13452.0,1151.0,7,0.437,3,5,2,0
session_002112,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36,59.226.79.4,5,493,82.35,0.666,70.9,5,3,3,3.43,1,1,1920x1080,de-DE,search,18,4,12755.0,1527.0,5,0.242,3,0,2,0
session_002113,python-requests/2.25.1,130.74.132.232,7,96,9.56,0.114,28.0,0,1,0,15.26,1,1,0x0,unknown,direct,19,4,103.0,776.0,7,0.982,0,0,0,1
session_002114,python-requests/2.25.1,93.67.68.110,13,184,9.1,0.268,7.5,2,0,0,10.97,0,0,1024x768,,direct,0,5,639.0,682.0,12,0.875,0,0,0,1
session_002115,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36,116.181.201.142,2,191,45.88,0.329,83.8,8,3,1,0.91,1,1,1920x1080,pt-BR,search,3,6,2372.0,625.0,2,0.246,2,4,1,0
session_002116,Mozilla/5.0 (Android 11; Mobile; rv:68.0) Gecko/68.0,172.83.62.165,6,288,68.41,0.488,75.7,10,2,1,1.41,1,0,1920x1080,en-GB,search,18,5,13255.0,1317.0,6,0.426,5,2,1,0
session_002117,Go-http-client/1.1,66.224.138.189,14,217,11.14,0.113,9.6,1,0,2,12.46,0,0,0x0,,direct,21,6,485.0,623.0,10,0.986,0,0,0,1
session_002118,Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36,154.16.79.255,10,30,10.0,0.393,71.8,9,3,2,2.44,1,1,1536x864,de-DE,referral,15,4,4336.0,1807.0,5,0.497,2,1,0,0
session_002119,curl/7.68.0,215.116.175.36,19,243,7.48,0.19,7.1,1,0,1,12.67,1,0,0x0,en,direct,9,5,364.0,875.0,9,0.966,0,0,0,1
session_002120,curl/7.68.0,192.247.98.182,18,217,11.95,0.29,20.2,3,0,0,15.89,1,0,1024x768,unknown,direct,4,1,675.0,621.0,10,0.834,0,0,0,1
session_002121,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36,116.42.134.61,9,660,48.54,0.778,92.7,6,5,4,4.35,1,1,375x667,en-US,search,16,1,11291.0,1196.0,6,0.694,0,2,1,0
session_002122,Scrapy/2.5.1,141.128.8.101,17,207,7.63,0.229,2.8,2,0,0,15.78,0,1,1024x768,en,direct,9,6,145.0,769.0,9,0.831,0,0,0,1
session_002123,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36,237.55.43.38,12,265,43.44,0.659,89.8,9,2,3,3.0,1,1,1920x1080,en-US,direct,15,4,8460.0,1054.0,2,0.55,2,0,2,0
session_002124,Go-http-client/1.1,5.17.178.134,19,168,6.89,0.114,26.1,2,0,1,17.95,1,1,0x0,unknown,referral,2,2,104.0,946.0,16,0.943,0,0,0,1
session_002125,PostmanRuntime/7.26.8,184.99.32.3,14,178,2.01,0.273,29.1,5,0,0,9.17,0,1,800x600,unknown,direct,7,1,406.0,447.0,14,0.946,0,0,0,1
session_002126,curl/7.68.0,186.61.230.142,16,66,6.8,0.191,3.0,0,0,0,13.44,0,0,unknown,,direct,14,2,681.0,1077.0,15,0.803,0,0,1,1
session_002127,Mozilla/5.0 (Android 11; Mobile; rv:68.0) Gecko/68.0,202.124.71.108,8,200,45.77,0.619,86.6,9,5,2,2.4,1,1,1366x768,en-GB,search,20,1,14733.0,992.0,5,0.341,3,2,2,0
session_002128,python-requests/2.25.1,81.214.174.203,18,191,9.98,0.145,21.8,2,0,0,10.5,0,1,800x600,en,referral,19,1,453.0,1052.0,13,0.868,0,0,0,1
session_002129,Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36,235.47.1.95,1,527,66.9,0.73,68.1,11,1,2,3.96,1,1,1440x900,pt-BR,search,19,6,9254.0,1947.0,1,0.314,2,3,1,0
session_002130,Mozilla/5.0 (iPhone; CPU iPhone OS 14_7_1 like Mac OS X),6.232.177.12,10,536,29.43,0.652,76.3,12,2,2,4.94,1,1,1536x864,pt-BR,referral,16,4,8811.0,1272.0,5,0.444,2,0,0,0
session_002131,Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36,232.166.101.235,7,122,65.76,0.74,49.6,8,0,0,1.09,1,1,1440x900,en-US,direct,8,3,14221.0,1171.0,3,0.471,1,3,0,0
session_002132,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36,242.58.253.73,7,433,102.03,0.388,69.7,6,3,0,0.92,1,1,1536x864,de-DE,direct,20,5,1049.0,1410.0,4,0.331,4,3,1,0
session_002133,Mozilla/5.0 (Android 11; Mobile; rv:68.0) Gecko/68.0,235.152.69.198,7,434,43.65,0.64,59.2,6,2,1,1.18,1,1,1536x864,en-US,social,7,5,4480.0,1262.0,7,0.688,3,5,0,0
session_002134,PostmanRuntime/7.26.8,195.50.111.108,13,234,11.77,0.149,13.8,1,0,0,15.01,0,0,1024x768,unknown,direct,20,3,735.0,750.0,13,0.828,0,0,0,1
session_002135,Go-http-client/1.1,104.41.100.156,14,131,4.55,0.28,26.1,1,0,0,14.17,0,0,800x600,,direct,19,3,307.0,766.0,5,0.997,0,0,0,1
session_002136,Mozilla/5.0 (iPhone; CPU iPhone OS 14_7_1 like Mac OS X),121.136.255.175,5,263,97.58,0.728,79.8,7,1,2,3.34,1,1,375x667,en-US,search,11,3,2902.0,499.0,4,0.225,1,3,2,0
session_002137,python-requests/2.25.1,47.93.117.217,10,216,14.41,0.143,29.8,6,0,0,11.15,0,1,0x0,unknown,search,1,6,438.0,919.0,10,0.954,0,0,0,1
session_002138,Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36,111.226.180.196,8,710,97.76,0.769,67.4,10,3,1,3.72,1,1,1536x864,pt-BR,search,15,7,8517.0,1139.0,8,0.4,3,0,1,0
session_002139,python-requests/2.25.1,98.4.78.251,12,161,5.32,0.186,24.8,5,0,0,15.95,1,1,800x600,,direct,1,7,500.0,743.0,12,0.937,0,0,0,1
session_002140,python-requests/2.25.1,86.131.81.249,13,127,3.07,0.251,2.6,2,0,0,16.38,0,0,0x0,unknown,direct,7,5,164.0,859.0,13,0.919,0,0,1,1
session_002141,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36,76.99.155.48,7,363,41.16,0.751,52.2,9,0,1,1.17,1,1,1920x1080,de-DE,social,15,3,5814.0,1438.0,1,0.517,3,1,3,0
session_002142,PostmanRuntime/7.26.8,72.24.156.183,11,151,9.66,0.173,18.2,1,0,0,9.65,1,1,0x0,en,social,9,4,581.0,406.0,11,0.817,0,0,0,1
session_002143,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36,132.151.20.116,3,820,61.49,0.466,84.8,2,2,2,4.59,1,1,1440x900,pt-BR,direct,8,7,3509.0,967.0,3,0.352,4,2,1,0
session_002144,Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36,211.142.89.175,3,231,64.86,0.749,84.1,9,1,1,2.6,1,1,1440x900,fr-FR,search,8,5,11251.0,793.0,3,0.214,0,3,1,0
session_002145,PostmanRuntime/7.26.8,130.33.1.217,13,93,14.93,0.294,10.3,4,0,2,17.03,0,0,1024x768,en,direct,13,4,867.0,647.0,7,0.853,0,0,0,1
session_002146,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36,5.241.188.13,7,208,35.87,0.607,89.7,11,1,1,2.11,1,1,1536x864,en-GB,search,12,3,14404.0,950.0,6,0.312,3,1,0,0
session_002147,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36,244.14.118.44,6,662,38.7,0.602,91.4,6,2,0,2.38,1,1,1366x768,es-ES,direct,16,7,14011.0,1012.0,6,0.579,3,2,2,0
session_002148,Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36,42.236.144.157,8,231,90.8,0.674,89.0,15,3,4,1.33,1,1,1440x900,en-US,search,13,4,2427.0,1617.0,1,0.413,1,5,2,0
session_002149,Scrapy/2.5.1,234.210.133.47,6,205,9.78,0.252,3.3,0,0,1,13.38,1,0,unknown,,direct,3,7,582.0,483.0,6,0.817,0,0,0,1
session_002150,Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36,242.240.139.237,6,440,35.0,0.383,55.1,12,1,1,1.97,1,1,1920x1080,fr-FR,search,0,3,9296.0,1242.0,4,0.608,6,6,1,0
session_002151,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36,165.179.193.243,5,845,71.44,0.723,54.0,5,2,3,2.53,1,0,1920x1080,en-US,social,20,5,12866.0,1557.0,5,0.307,1,3,0,0
session_002152,python-requests/2.25.1,217.119.227.207,11,192,3.58,0.216,19.9,1,0,0,18.37,1,0,800x600,unknown,direct,17,1,325.0,1017.0,6,0.822,0,0,0,1
session_002153,Go-http-client/1.1,59.243.210.221,12,39,4.45,0.28,10.5,1,0,0,8.4,1,0,800x600,,social,10,5,953.0,932.0,12,0.838,0,0,0,1
session_002154,Mozilla/5.0 (iPhone; CPU iPhone OS 14_7_1 like Mac OS X),175.4.2.245,8,389,59.98,0.749,53.2,10,0,1,1.16,1,1,1440x900,pt-BR,direct,13,6,12836.0,756.0,8,0.66,1,1,1,0
session_002155,Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36,147.202.80.144,9,422,50.9,0.568,43.1,11,5,1,3.86,1,1,1440x900,en-GB,direct,20,2,6081.0,1225.0,5,0.681,4,4,0,0
session_002156,Mozilla/5.0 (Android 11; Mobile; rv:68.0) Gecko/68.0,120.106.152.143,1,335,70.34,0.368,53.4,8,0,3,3.88,1,1,1366x768,fr-FR,search,16,4,3715.0,1285.0,1,0.582,2,2,0,0
session_002157,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36,121.197.30.106,6,424,24.25,0.413,64.2,10,4,2,2.3,1,1,375x667,pt-BR,social,9,3,11376.0,611.0,5,0.27,2,0,2,0
session_002158,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36,207.80.208.138,1,390,59.66,0.389,72.0,10,0,2,3.95,1,1,1366x768,pt-BR,direct,14,2,14013.0,200.0,1,0.267,2,4,0,0
session_002159,PostmanRuntime/7.26.8,40.91.199.144,17,190,4.71,0.21,1.2,3,0,0,14.81,1,0,0x0,en,direct,2,4,446.0,676.0,14,0.851,0,0,0,1
session_002160,curl/7.68.0,226.201.203.187,10,184,7.27,0.139,24.2,1,0,0,15.32,0,1,0x0,unknown,search,11,7,241.0,625.0,5,0.893,0,0,0,1
session_002161,curl/7.68.0,108.136.16.104,15,301,8.97,0.136,9.3,2,0,0,18.44,0,0,0x0,en,direct,22,3,397.0,609.0,13,0.838,0,0,0,1
session_002162,Mozilla/5.0 (Android 11; Mobile; rv:68.0) Gecko/68.0,184.65.229.77,4,756,42.99,0.452,81.4,11,2,2,3.22,1,0,375x667,en-GB,search,10,7,5434.0,1207.0,2,0.68,6,1,5,0
session_002163,curl/7.68.0,59.98.236.252,8,82,6.84,0.17,7.7,0,0,1,8.26,0,1,0x0,en,social,7,6,572.0,869.0,8,0.982,0,0,0,1
session_002164,Mozilla/5.0 (iPhone; CPU iPhone OS 14_7_1 like Mac OS X),181.13.101.93,2,598,14.43,0.403,50.1,8,3,1,2.6,1,1,375x667,es-ES,direct,8,5,12120.0,684.0,2,0.601,3,1,1,0
session_002165,python-requests/2.25.1,53.145.47.187,20,121,10.11,0.131,29.3,1,1,0,15.55,0,1,800x600,,direct,16,7,146.0,569.0,9,0.933,1,0,0,1
session_002166,python-requests/2.25.1,162.180.80.188,10,49,8.34,0.243,17.1,4,0,0,17.37,1,1,800x600,en,direct,14,7,716.0,779.0,10,0.91,0,0,0,1
session_002167,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36,241.100.25.154,4,639,41.79,0.714,89.9,5,2,1,2.6,1,1,1366x768,es-ES,search,15,2,5586.0,1461.0,4,0.407,6,2,1,0
session_002168,Scrapy/2.5.1,100.14.176.180,13,188,8.45,0.279,12.9,5,0,1,12.34,0,1,1024x768,,direct,2,2,811.0,576.0,7,0.962,0,0,1,1
session_002169,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36,210.236.239.69,8,453,51.29,0.786,85.4,8,2,1,4.5,1,1,1366x768,en-US,social,18,6,7685.0,995.0,7,0.62,5,3,0,0
session_002170,PostmanRuntime/7.26.8,231.81.201.204,27,171,10.37,0.283,12.6,5,0,1,17.44,0,0,unknown,en,direct,16,7,165.0,805.0,8,0.875,0,0,0,1
session_002171,Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36,13.21.82.29,3,373,45.46,0.392,73.1,7,3,1,1.37,1,0,1366x768,pt-BR,search,15,3,9665.0,940.0,3,0.436,3,0,1,0
session_002172,Mozilla/5.0 (Android 11; Mobile; rv:68.0) Gecko/68.0,205.168.176.176,5,446,41.22,0.654,93.3,4,1,2,2.0,1,1,1440x900,fr-FR,referral,18,2,4975.0,972.0,5,0.421,1,1,2,0
session_002173,Go-http-client/1.1,73.12.245.214,23,75,6.26,0.298,21.2,3,0,1,13.24,0,0,800x600,unknown,direct,19,2,866.0,574.0,16,0.932,0,0,0,1
session_002174,Mozilla/5.0 (Android 11; Mobile; rv:68.0) Gecko/68.0,239.91.182.191,3,641,37.59,0.387,88.6,9,2,1,0.67,1,1,1440x900,pt-BR,direct,4,7,7832.0,1097.0,3,0.263,1,2,1,0
session_002175,Go-http-client/1.1,17.13.3.252,21,174,13.68,0.188,27.4,1,0,0,10.16,0,0,unknown,,direct,17,6,875.0,809.0,12,0.97,0,0,0,1
session_002176,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36,177.230.149.31,11,655,119.17,0.694,42.9,7,5,2,4.3,1,1,1440x900,es-ES,search,18,4,14369.0,1752.0,4,0.247,3,1,0,0
session_002177,curl/7.68.0,12.130.157.179,12,149,12.5,0.25,28.1,1,0,1,10.9,0,0,800x600,en,social,10,5,590.0,1095.0,12,0.827,1,0,0,1
session_002178,Scrapy/2.5.1,226.158.158.229,13,206,8.37,0.201,14.8,1,0,0,11.93,1,1,unknown,unknown,direct,21,5,176.0,864.0,6,0.801,0,0,0,1
session_002179,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36,38.12.93.100,10,423,52.43,0.603,79.3,6,3,0,4.76,1,1,1920x1080,en-US,social,9,5,11324.0,846.0,4,0.669,2,5,2,0
session_002180,Mozilla/5.0 (Android 11; Mobile; rv:68.0) Gecko/68.0,4.165.5.102,6,235,85.41,0.63,47.6,6,0,2,2.58,1,1,1536x864,de-DE,direct,5,6,5704.0,1092.0,6,0.453,4,2,0,0
session_002181,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36,123.68.12.200,4,990,76.02,0.449,48.2,6,4,3,4.86,1,1,1536x864,de-DE,direct,9,5,2071.0,356.0,4,0.455,1,2,2,0
session_002182,Mozilla/5.0 (Android 11; Mobile; rv:68.0) Gecko/68.0,245.56.170.50,3,299,39.67,0.333,93.5,11,2,2,0.92,1,0,1440x900,es-ES,search,21,4,2860.0,626.0,2,0.378,3,1,2,0
session_002183,Mozilla/5.0 (iPhone; CPU iPhone OS 14_7_1 like Mac OS X),58.6.1.101,6,522,47.34,0.726,72.7,5,2,0,4.92,1,1,1536x864,fr-FR,direct,11,4,6199.0,1422.0,2,0.557,1,2,2,0
session_002184,curl/7.68.0,3.56.42.163,11,211,7.32,0.237,0.3,3,0,1,12.2,0,1,800x600,en,direct,14,7,455.0,597.0,11,0.902,1,0,0,1
session_002185,Go-http-client/1.1,101.48.74.28,11,248,9.66,0.101,14.5,2,0,0,16.57,0,0,unknown,en,direct,18,2,531.0,1346.0,11,0.876,0,0,1,1
session_002186,Scrapy/2.5.1,200.39.57.203,11,112,8.25,0.189,19.6,4,0,0,9.85,1,0,unknown,unknown,direct,12,5,229.0,599.0,11,0.846,0,0,0,1
session_002187,Go-http-client/1.1,11.165.230.229,24,244,6.32,0.291,2.1,3,0,0,8.11,0,0,800x600,unknown,direct,16,3,620.0,735.0,15,0.952,0,0,0,1
session_002188,python-requests/2.25.1,106.131.65.63,13,241,7.37,0.277,23.7,1,0,0,17.91,0,1,1024x768,en,direct,11,5,702.0,780.0,13,0.902,0,0,0,1
session_002189,curl/7.68.0,238.2.73.230,12,248,7.15,0.128,8.8,2,0,0,15.55,0,0,0x0,unknown,referral,0,2,997.0,543.0,12,0.823,0,0,0,1
session_002190,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36,83.220.145.221,8,411,105.08,0.788,69.2,6,2,3,4.25,1,1,1920x1080,en-GB,search,17,2,3917.0,973.0,5,0.513,1,4,1,0
session_002191,Scrapy/2.5.1,43.102.12.60,16,171,3.78,0.143,22.0,3,0,0,13.74,1,1,0x0,,direct,10,5,927.0,885.0,7,0.883,0,0,0,1
session_002192,Scrapy/2.5.1,118.95.91.134,17,247,8.59,0.267,10.3,0,0,0,11.87,0,1,800x600,unknown,direct,0,7,939.0,829.0,12,0.936,1,0,0,1
session_002193,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36,1.233.114.30,8,659,70.13,0.781,46.5,8,1,3,0.83,1,1,1440x900,en-GB,social,14,1,4843.0,1085.0,3,0.213,6,3,1,0
session_002194,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36,49.111.180.246,7,211,78.74,0.378,46.2,14,3,4,0.52,1,1,1920x1080,pt-BR,direct,18,5,1113.0,1025.0,2,0.417,0,1,0,0
session_002195,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36,91.233.234.135,3,221,28.88,0.379,92.7,6,3,5,2.86,1,1,375x667,de-DE,direct,5,2,14111.0,1074.0,3,0.555,0,0,0,0
session_002196,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36,145.25.112.28,6,314,28.21,0.747,89.0,6,1,3,3.44,1,1,375x667,fr-FR,referral,13,5,4621.0,876.0,3,0.564,1,2,0,0
session_002197,curl/7.68.0,21.187.151.226,14,197,5.34,0.205,25.0,3,1,1,8.07,1,0,0x0,,direct,0,6,992.0,881.0,13,0.934,1,0,0,1
session_002198,Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36,133.12.182.13,8,420,67.6,0.414,57.2,9,2,2,1.02,1,1,1366x768,fr-FR,search,5,7,8683.0,1638.0,7,0.51,2,3,2,0
session_002199,Mozilla/5.0 (iPhone; CPU iPhone OS 14_7_1 like Mac OS X),56.18.141.251,7,498,98.94,0.496,52.0,8,3,1,3.81,1,1,375x667,en-GB,direct,13,6,12212.0,1003.0,5,0.489,3,3,1,0
session_002200,curl/7.68.0,206.131.71.85,23,189,9.34,0.242,12.8,3,0,0,16.87,0,1,800x600,,direct,18,2,797.0,835.0,11,0.894,0,0,0,1
session_002201,Mozilla/5.0 (Android 11; Mobile; rv:68.0) Gecko/68.0,42.1.14.46,8,525,112.39,0.463,60.2,8,0,2,4.28,1,1,1366x768,de-DE,social,8,5,2854.0,1584.0,4,0.46,1,2,0,0
session_002202,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36,251.59.35.170,3,774,97.19,0.525,44.4,10,1,0,2.4,1,1,1920x1080,es-ES,social,14,6,13584.0,1533.0,1,0.605,3,1,1,0
session_002203,Mozilla/5.0 (Android 11; Mobile; rv:68.0) Gecko/68.0,168.55.188.34,7,118,47.67,0.65,53.2,10,1,1,3.02,1,0,1920x1080,en-US,direct,16,6,11080.0,1402.0,4,0.216,4,2,0,0
session_002204,python-requests/2.25.1,155.182.51.180,19,58,7.72,0.217,25.4,0,0,0,10.41,1,1,1024x768,,direct,3,2,618.0,825.0,10,0.841,0,0,0,1
session_002205,Scrapy/2.5.1,13.71.240.183,11,194,3.99,0.151,21.6,1,0,0,15.95,0,1,1024x768,en,direct,1,3,484.0,568.0,11,0.91,0,0,0,1
